Date,Location,Corps,Class,Rank,Total,CTot,GE1_Rep,GE1_Perf,GE1_Tot,GE1_Rep2,GE1_Perf2,GE1_Tot2,GE2_Rep,GE2_Perf,GE2_Tot,GE2_Rep2,GE2_Perf2,GE2_Tot2,GE_Tot,VP_Cont,VP_Achv,VP_Tot,VA_Comp,VA_Achv,VA_Tot,CG_Cont,CG_Achv,CG_Tot,Vis_Tot,MB_Cont,MB_Achv,MB_Tot,MA_Cont,MA_Achv,MA_Tot,MA_Cont2,MA_Achv2,MA_Tot2,MP_Cont,MP_Achv,MP_Tot,Mus_Tot,Penalties,Latitude,Longitude
6/26/2024,"Rockford, MI",Boston Crusaders,World,1st,73.0,73.0,7.8,7.6,15.4,--,--,--,7.3,7.1,14.4,--,--,--,29.8,7.4,7.1,14.5,7.2,7.1,14.3,7.4,7.1,14.5,21.65,7.3,7.0,14.3,7.5,7.2,14.7,--,--,--,7.1,7.0,14.1,21.55,0.0,43.119721,-85.559604
6/26/2024,"Rockford, MI",Phantom Regiment,World,2nd,70.15,70.15,7.5,7.3,14.8,--,--,--,7.2,7.0,14.2,--,--,--,29.0,7.2,6.8,14.0,6.9,6.7,13.6,7.0,6.6,13.6,20.6,7.1,6.7,13.8,7.2,7.0,14.2,--,--,--,6.7,6.4,13.1,20.55,0.0,43.119721,-85.559604
6/26/2024,"Rockford, MI",The Cavaliers,World,3rd,68.25,68.25,7.1,6.6,13.7,--,--,--,7.1,6.8,13.9,--,--,--,27.6,7.1,6.7,13.8,6.7,6.6,13.3,6.8,6.1,12.9,20.0,7.0,6.4,13.4,7.3,6.8,14.1,--,--,--,7.2,6.6,13.8,20.65,0.0,43.119721,-85.559604
6/26/2024,"Rockford, MI",Blue Stars,World,4th,66.65,66.65,7.2,6.9,14.1,--,--,--,6.8,6.5,13.3,--,--,--,27.4,7.0,6.3,13.3,6.5,6.3,12.8,7.1,6.3,13.4,19.75,6.7,6.2,12.9,7.0,6.6,13.6,--,--,--,6.5,6.0,12.5,19.5,0.0,43.119721,-85.559604
6/26/2024,"Rockford, MI",Colts,World,5th,65.4,65.4,7.0,6.8,13.8,--,--,--,6.6,6.4,13.0,--,--,--,26.8,6.8,6.6,13.4,6.4,6.2,12.6,6.6,6.2,12.8,19.4,6.6,6.1,12.7,6.9,6.4,13.3,--,--,--,6.3,6.1,12.4,19.2,0.0,43.119721,-85.559604
6/28/2024,"Walnut, CA",Blue Devils,World,1st,76.6,76.6,7.8,7.7,15.5,--,--,--,7.8,7.7,15.5,--,--,--,31.0,7.7,7.4,15.1,7.8,7.4,15.2,7.7,7.5,15.2,22.75,7.7,7.4,15.1,7.7,7.5,15.2,--,--,--,7.9,7.5,15.4,22.85,0.0,34.0202894,-117.8653386
6/28/2024,"Walnut, CA",Santa Clara Vanguard,World,2nd,72.65,72.65,7.2,7.2,14.4,--,--,--,7.6,7.4,15.0,--,--,--,29.4,7.4,7.1,14.5,7.2,7.0,14.2,7.2,6.9,14.1,21.4,7.4,7.2,14.6,7.0,6.8,13.8,--,--,--,7.7,7.6,15.3,21.85,0.0,34.0202894,-117.8653386
6/28/2024,"Walnut, CA",Mandarins,World,3rd,71.65,71.65,7.5,7.3,14.8,--,--,--,7.4,7.1,14.5,--,--,--,29.3,7.3,6.8,14.1,7.3,7.1,14.4,7.3,7.1,14.4,21.45,7.2,7.0,14.2,6.8,6.6,13.4,--,--,--,7.3,6.9,14.2,20.9,0.0,34.0202894,-117.8653386
6/28/2024,"Walnut, CA",Pacific Crest,World,4th,64.3,64.3,6.6,6.4,13.0,--,--,--,6.7,6.3,13.0,--,--,--,26.0,6.4,6.0,12.4,6.5,6.0,12.5,6.6,6.2,12.8,18.85,6.5,6.2,12.7,6.4,6.3,12.7,--,--,--,6.9,6.6,13.5,19.45,0.0,34.0202894,-117.8653386
6/28/2024,"Walnut, CA",Blue Devils B,Open,1st,61.95,61.95,6.3,6.1,12.4,--,--,--,6.4,5.9,12.3,--,--,--,24.7,6.3,5.9,12.2,6.6,6.2,12.8,6.1,5.7,11.8,18.4,6.4,6.0,12.4,6.3,6.2,12.5,--,--,--,6.5,6.3,12.8,18.85,0.0,34.0202894,-117.8653386
